order_id,user_id,merchant_id,order_date,order_value,promo_applied,delivery_time_min,is_late_delivery,support_contact_flag,is_first_order
O0000001,U000001,M0026,2025-08-12,28.57,False,46,True,False,True
O0000002,U000001,M0104,2025-08-25,14.91,False,29,False,True,False
O0000003,U000001,M0043,2025-09-14,22.34,False,40,False,False,False
O0000004,U000001,M0004,2025-10-12,21.21,False,32,False,False,False
O0000005,U000002,M0217,2026-03-14,9.1,False,44,False,False,True
O0000006,U000003,M0212,2025-12-20,17.27,True,41,False,False,True
O0000007,U000003,M0217,2025-12-25,14.22,True,41,False,False,False
O0000008,U000003,M0198,2025-12-31,22.92,False,22,False,False,False
O0000009,U000003,M0205,2026-01-07,26.06,True,44,False,False,False
O0000010,U000003,M0184,2026-01-17,26.27,False,18,False,False,False
O0000011,U000003,M0203,2026-01-21,16.49,False,41,False,False,False
O0000012,U000003,M0193,2026-01-30,21.05,False,42,False,False,False
O0000013,U000003,M0213,2026-02-08,20.47,False,41,False,False,False
O0000014,U000003,M0198,2026-02-19,40.76,False,28,False,False,False
O0000015,U000004,M0058,2025-08-19,10.0,False,40,False,False,True
O0000016,U000004,M0069,2025-08-26,16.32,False,34,False,False,False
O0000017,U000004,M0097,2025-09-01,46.69,True,53,False,True,False
O0000018,U000004,M0078,2025-09-10,19.26,True,30,False,False,False
O0000019,U000004,M0009,2025-09-22,11.53,False,18,False,False,False
O0000020,U000004,M0065,2025-10-03,23.13,True,45,False,False,False
O0000021,U000004,M0045,2025-10-14,23.57,False,29,False,False,False
O0000022,U000004,M0110,2025-10-20,21.29,False,28,False,False,False
O0000023,U000004,M0098,2025-10-24,36.12,False,38,False,False,False
O0000024,U000004,M0062,2025-10-30,16.33,False,42,False,False,False
O0000025,U000004,M0120,2025-11-05,36.44,False,29,False,False,False
O0000026,U000004,M0091,2025-11-14,26.25,False,40,False,True,False
O0000027,U000005,M0203,2025-09-26,16.5,False,32,False,False,True
O0000028,U000006,M0267,2026-02-15,24.24,True,45,False,False,True
O0000029,U000007,M0091,2025-12-16,28.54,False,57,True,False,True
O0000030,U000007,M0016,2025-12-26,21.57,False,36,False,False,False
O0000031,U000007,M0006,2025-12-31,17.93,True,36,False,False,False
O0000032,U000007,M0047,2026-01-08,27.13,False,46,True,False,False
O0000033,U000007,M0068,2026-01-20,28.44,True,49,True,False,False
O0000034,U000007,M0013,2026-01-30,14.18,True,39,False,False,False
O0000035,U000007,M0044,2026-02-05,15.39,True,27,False,False,False
O0000036,U000008,M0115,2025-08-11,15.95,False,36,False,False,True
O0000037,U000008,M0066,2025-08-20,16.88,True,31,False,False,False
O0000038,U000008,M0073,2025-08-30,33.78,False,25,False,False,False
O0000039,U000008,M0108,2025-09-14,20.62,True,41,False,False,False
O0000040,U000008,M0076,2025-10-03,29.43,True,41,False,False,False
O0000041,U000008,M0055,2025-10-18,14.95,False,33,False,False,False
O0000042,U000008,M0065,2025-11-03,19.46,True,20,False,False,False
O0000043,U000009,M0275,2025-10-21,27.01,True,33,False,False,True
O0000044,U000010,M0287,2025-12-04,25.51,False,36,False,False,True
O0000045,U000010,M0293,2025-12-12,19.73,True,24,False,False,False
O0000046,U000010,M0288,2025-12-22,41.05,False,40,False,False,False
O0000047,U000010,M0274,2026-01-01,19.13,False,33,False,False,False
O0000048,U000010,M0288,2026-01-11,23.91,False,47,True,False,False
O0000049,U000010,M0278,2026-01-19,42.7,False,41,False,False,False
O0000050,U000010,M0278,2026-01-31,23.02,False,28,False,False,False
O0000051,U000010,M0268,2026-02-05,31.53,True,37,False,False,False
O0000052,U000011,M0109,2026-03-25,19.3,False,36,False,False,True
O0000053,U000012,M0285,2025-11-15,22.46,True,44,False,False,True
O0000054,U000013,M0285,2025-12-08,26.27,True,21,False,False,True
O0000055,U000013,M0277,2025-12-19,30.51,False,42,False,False,False
O0000056,U000013,M0284,2025-12-28,38.39,False,42,False,False,False
O0000057,U000013,M0271,2026-01-05,26.81,False,52,True,False,False
O0000058,U000013,M0273,2026-01-17,28.89,False,38,False,False,False
O0000059,U000013,M0284,2026-01-25,35.9,False,47,True,False,False
O0000060,U000013,M0274,2026-02-06,28.27,False,23,False,False,False
O0000061,U000013,M0277,2026-02-13,37.71,False,31,False,False,False
O0000062,U000013,M0277,2026-02-21,36.33,False,32,False,False,False
O0000063,U000013,M0293,2026-02-25,18.61,False,35,False,False,False
O0000064,U000013,M0269,2026-03-06,21.53,False,28,False,False,False
O0000065,U000013,M0278,2026-03-12,37.65,False,38,False,False,False
O0000066,U000014,M0078,2025-09-30,17.76,True,30,False,False,True
O0000067,U000015,M0090,2026-03-31,14.1,False,33,False,False,True
O0000068,U000016,M0211,2025-12-30,30.31,False,24,False,False,True
O0000069,U000016,M0183,2026-01-11,24.47,True,35,False,False,False
O0000070,U000017,M0100,2025-11-19,15.94,False,32,False,False,True
O0000071,U000017,M0009,2025-12-11,11.65,False,36,False,False,False
O0000072,U000017,M0057,2025-12-29,28.83,True,24,False,False,False
O0000073,U000017,M0024,2026-01-19,23.16,False,43,False,False,False
O0000074,U000018,M0083,2026-03-31,21.42,False,32,False,False,True
O0000075,U000019,M0150,2025-07-08,28.83,False,35,False,False,True
O0000076,U000019,M0129,2025-08-03,30.26,False,34,False,False,False
O0000077,U000019,M0146,2025-08-31,20.69,False,32,False,False,False
O0000078,U000020,M0062,2026-03-20,16.36,True,20,False,True,True
O0000079,U000021,M0249,2025-10-09,23.36,False,46,False,False,True
O0000080,U000021,M0233,2025-10-25,12.45,True,23,False,False,False
O0000081,U000022,M0249,2026-02-25,16.37,False,61,True,True,True
O0000082,U000023,M0087,2025-08-17,9.19,True,25,False,False,True
O0000083,U000023,M0042,2025-09-15,9.58,False,42,False,False,False
O0000084,U000023,M0065,2025-10-06,11.81,True,40,False,False,False
O0000085,U000023,M0070,2025-10-30,11.69,False,39,False,False,False
O0000086,U000024,M0227,2026-01-17,38.58,True,20,False,False,True
O0000087,U000025,M0226,2025-10-04,30.54,False,45,False,False,True
O0000088,U000026,M0272,2025-09-10,40.81,True,38,False,False,True
O0000089,U000026,M0288,2025-10-04,33.34,False,30,False,False,False
O0000090,U000026,M0267,2025-10-22,24.38,False,34,False,False,False
O0000091,U000026,M0294,2025-11-09,12.82,False,40,False,False,False
O0000092,U000027,M0084,2026-03-18,17.09,False,41,False,True,True
O0000093,U000028,M0110,2025-11-19,21.96,False,27,False,False,True
O0000094,U000029,M0112,2025-08-03,22.17,True,19,False,False,True
O0000095,U000029,M0069,2025-08-13,9.52,False,51,False,False,False
O0000096,U000030,M0115,2025-08-04,34.44,True,37,False,False,True
O0000097,U000031,M0224,2025-12-20,18.49,True,27,False,False,True
O0000098,U000031,M0188,2026-01-07,20.67,False,31,False,False,False
O0000099,U000031,M0190,2026-01-30,20.01,False,41,False,False,False
O0000100,U000032,M0033,2026-01-11,15.9,True,36,False,False,True
O0000101,U000033,M0213,2026-01-18,14.39,False,30,False,False,True
O0000102,U000033,M0217,2026-02-14,16.68,False,37,False,False,False
O0000103,U000034,M0280,2026-03-31,35.81,False,63,True,True,True
O0000104,U000035,M0015,2026-02-11,28.72,False,42,False,False,True
O0000105,U000035,M0027,2026-02-21,34.65,True,38,False,False,False
O0000106,U000036,M0076,2025-10-21,31.45,True,30,False,False,True
O0000107,U000036,M0110,2025-11-12,12.09,False,35,False,False,False
O0000108,U000037,M0013,2025-10-11,8.08,True,38,False,False,True
O0000109,U000038,M0005,2025-09-06,24.16,False,49,False,False,True
O0000110,U000038,M0106,2025-09-30,25.5,True,40,False,False,False
O0000111,U000038,M0030,2025-10-10,17.97,True,40,False,False,False
O0000112,U000039,M0254,2026-01-21,8.0,False,28,False,True,True
O0000113,U000040,M0018,2025-09-16,13.72,False,53,True,True,True
O0000114,U000040,M0084,2025-09-22,16.25,False,40,False,False,False
O0000115,U000040,M0089,2025-09-30,21.13,False,42,False,False,False
O0000116,U000040,M0118,2025-10-12,28.36,True,34,False,False,False
O0000117,U000040,M0090,2025-10-17,10.0,False,28,False,False,False
O0000118,U000040,M0106,2025-10-29,19.24,False,53,False,False,False
O0000119,U000040,M0088,2025-11-04,10.0,False,43,False,False,False
O0000120,U000040,M0009,2025-11-14,18.17,True,54,True,False,False
O0000121,U000040,M0088,2025-11-18,16.59,True,31,False,False,False
O0000122,U000040,M0025,2025-11-22,21.45,False,48,True,True,False
O0000123,U000040,M0077,2025-12-03,15.65,True,50,True,False,False
O0000124,U000041,M0283,2026-03-31,36.57,True,27,False,False,True
O0000125,U000042,M0038,2025-10-20,31.87,False,47,True,False,True
O0000126,U000042,M0016,2025-11-05,20.46,True,18,False,False,False
O0000127,U000042,M0011,2025-11-19,21.32,True,42,False,False,False
O0000128,U000042,M0027,2025-12-02,29.38,True,31,False,False,False
O0000129,U000042,M0077,2025-12-22,27.37,True,24,False,False,False
O0000130,U000042,M0020,2026-01-06,23.35,True,18,False,False,False
O0000131,U000043,M0230,2025-12-29,28.58,False,34,False,False,True
O0000132,U000044,M0072,2026-01-05,16.27,True,37,False,False,True
O0000133,U000045,M0057,2026-02-27,30.99,False,25,False,False,True
O0000134,U000045,M0092,2026-03-06,13.6,False,23,False,False,False
O0000135,U000045,M0009,2026-03-14,10.15,True,36,False,False,False
O0000136,U000045,M0042,2026-03-24,24.7,True,35,False,False,False
O0000137,U000046,M0130,2026-03-14,25.75,True,49,False,False,True
O0000138,U000047,M0035,2025-08-11,24.05,True,34,False,False,True
O0000139,U000048,M0006,2026-03-31,21.0,False,38,False,False,True
O0000140,U000049,M0098,2025-11-26,21.26,True,26,False,False,True
O0000141,U000050,M0006,2025-09-25,29.43,True,45,False,False,True
O0000142,U000050,M0009,2025-10-18,15.61,False,49,False,False,False
O0000143,U000050,M0017,2025-11-17,20.67,False,50,True,False,False
O0000144,U000050,M0021,2025-12-05,24.89,False,51,True,False,False
O0000145,U000051,M0176,2026-02-21,8.0,False,35,False,True,True
O0000146,U000051,M0122,2026-03-04,8.0,True,48,True,False,False
O0000147,U000051,M0129,2026-03-19,12.33,True,18,False,False,False
O0000148,U000052,M0284,2025-08-24,40.07,False,35,False,False,True
O0000149,U000053,M0295,2025-11-17,17.04,False,46,True,False,True
O0000150,U000053,M0275,2025-11-30,21.78,False,35,False,False,False
O0000151,U000054,M0003,2025-09-14,15.78,False,35,False,False,True
O0000152,U000054,M0044,2025-09-23,19.93,True,32,False,False,False
O0000153,U000054,M0071,2025-10-09,30.57,False,34,False,False,False
O0000154,U000054,M0102,2025-10-20,22.83,True,23,False,False,False
O0000155,U000054,M0081,2025-11-02,15.85,False,45,False,False,False
O0000156,U000054,M0044,2025-11-12,20.16,True,46,True,False,False
O0000157,U000054,M0103,2025-11-24,18.12,True,36,False,False,False
O0000158,U000055,M0268,2025-12-26,18.34,True,39,False,False,True
O0000159,U000055,M0288,2026-01-03,26.47,False,21,False,False,False
O0000160,U000055,M0275,2026-01-12,34.11,False,45,False,False,False
O0000161,U000055,M0284,2026-01-24,26.88,False,54,False,False,False
O0000162,U000055,M0276,2026-02-03,18.95,False,33,False,False,False
O0000163,U000055,M0285,2026-02-11,17.04,False,37,False,False,False
O0000164,U000055,M0282,2026-02-21,26.77,False,27,False,False,False
O0000165,U000055,M0293,2026-03-04,10.89,False,32,False,False,False
O0000166,U000055,M0267,2026-03-08,26.81,False,40,False,False,False
O0000167,U000055,M0279,2026-03-18,40.29,True,20,False,False,False
O0000168,U000056,M0047,2025-10-05,18.27,True,44,False,False,True
O0000169,U000056,M0007,2025-10-14,22.59,False,43,False,True,False
O0000170,U000056,M0103,2025-11-03,23.97,True,49,True,False,False
O0000171,U000056,M0088,2025-11-18,18.58,True,36,False,False,False
O0000172,U000057,M0243,2025-08-06,14.89,True,49,False,False,True
O0000173,U000058,M0227,2026-02-18,42.39,True,27,False,False,True
O0000174,U000059,M0088,2025-08-17,23.72,True,35,False,False,True
O0000175,U000060,M0252,2025-11-01,32.4,True,43,False,False,True
