user_id,metric_month,orders_count,avg_order_value,promo_order_share,avg_delivery_time_min,local_merchant_order_share,days_since_last_order,retained_next_30d,segment_label
U000001,2025-08-01,2,21.74,0.0,37.5,1.0,6,True,light_user
U000001,2025-09-01,1,22.34,0.0,40.0,1.0,16,True,light_user
U000001,2025-10-01,1,21.21,0.0,32.0,1.0,19,False,light_user
U000002,2026-03-01,1,9.1,0.0,44.0,1.0,17,False,one_time
U000003,2025-12-01,3,18.14,0.67,34.7,1.0,0,True,habitual_user
U000003,2026-01-01,4,22.47,0.25,36.2,0.75,1,True,habitual_user
U000003,2026-02-01,2,30.62,0.0,34.5,0.5,9,False,habitual_user
U000004,2025-08-01,2,13.16,0.0,37.0,1.0,5,True,habitual_user
U000004,2025-09-01,3,25.83,0.67,33.7,1.0,8,True,habitual_user
U000004,2025-10-01,5,24.09,0.2,36.4,0.6,1,True,habitual_user
U000004,2025-11-01,2,31.34,0.0,34.5,1.0,16,False,habitual_user
U000005,2025-09-01,1,16.5,0.0,32.0,1.0,4,False,one_time
U000006,2026-02-01,1,24.24,1.0,45.0,1.0,13,False,one_time
U000007,2025-12-01,3,22.68,0.33,43.0,0.67,0,True,habitual_user
U000007,2026-01-01,3,23.25,0.67,44.7,0.67,1,True,habitual_user
U000007,2026-02-01,1,15.39,1.0,27.0,1.0,23,False,habitual_user
U000008,2025-08-01,3,22.2,0.33,30.7,0.67,1,True,habitual_user
U000008,2025-09-01,1,20.62,1.0,41.0,1.0,16,True,habitual_user
U000008,2025-10-01,2,22.19,0.5,37.0,1.0,13,True,habitual_user
U000008,2025-11-01,1,19.46,1.0,20.0,1.0,27,False,habitual_user
U000009,2025-10-01,1,27.01,1.0,33.0,0.0,10,False,one_time
U000010,2025-12-01,3,28.76,0.33,33.3,0.67,9,True,habitual_user
U000010,2026-01-01,4,27.19,0.0,37.2,0.75,0,True,habitual_user
U000010,2026-02-01,1,31.53,1.0,37.0,1.0,23,False,habitual_user
U000011,2026-03-01,1,19.3,0.0,36.0,1.0,6,False,one_time
U000012,2025-11-01,1,22.46,1.0,44.0,1.0,15,False,one_time
U000013,2025-12-01,3,31.72,0.33,35.0,0.67,3,True,habitual_user
U000013,2026-01-01,3,30.53,0.0,45.7,0.33,6,True,habitual_user
U000013,2026-02-01,4,30.23,0.0,30.2,0.25,3,True,habitual_user
U000013,2026-03-01,2,29.59,0.0,33.0,1.0,19,False,habitual_user
U000014,2025-09-01,1,17.76,1.0,30.0,1.0,0,False,one_time
U000015,2026-03-01,1,14.1,0.0,33.0,1.0,0,False,one_time
U000016,2025-12-01,1,30.31,0.0,24.0,1.0,1,True,light_user
U000016,2026-01-01,1,24.47,1.0,35.0,1.0,20,False,light_user
U000017,2025-11-01,1,15.94,0.0,32.0,0.0,11,True,light_user
U000017,2025-12-01,2,20.24,0.5,30.0,1.0,2,True,light_user
U000017,2026-01-01,1,23.16,0.0,43.0,1.0,12,False,light_user
U000018,2026-03-01,1,21.42,0.0,32.0,1.0,0,False,one_time
U000019,2025-07-01,1,28.83,0.0,35.0,0.0,23,True,light_user
U000019,2025-08-01,2,25.48,0.0,33.0,0.5,0,False,light_user
U000020,2026-03-01,1,16.36,1.0,20.0,1.0,11,False,one_time
U000021,2025-10-01,2,17.9,0.5,34.5,0.5,6,False,light_user
U000022,2026-02-01,1,16.37,0.0,61.0,0.0,3,False,one_time
U000023,2025-08-01,1,9.19,1.0,25.0,1.0,14,True,light_user
U000023,2025-09-01,1,9.58,0.0,42.0,1.0,15,True,light_user
U000023,2025-10-01,2,11.75,0.5,39.5,1.0,1,False,light_user
U000024,2026-01-01,1,38.58,1.0,20.0,0.0,14,False,one_time
U000025,2025-10-01,1,30.54,0.0,45.0,1.0,27,False,one_time
U000026,2025-09-01,1,40.81,1.0,38.0,0.0,20,True,light_user
U000026,2025-10-01,2,28.86,0.0,32.0,1.0,9,True,light_user
U000026,2025-11-01,1,12.82,0.0,40.0,0.0,21,False,light_user
U000027,2026-03-01,1,17.09,0.0,41.0,1.0,13,False,one_time
U000028,2025-11-01,1,21.96,0.0,27.0,0.0,11,False,one_time
U000029,2025-08-01,2,15.84,0.5,35.0,0.5,18,False,light_user
U000030,2025-08-01,1,34.44,1.0,37.0,1.0,27,False,one_time
U000031,2025-12-01,1,18.49,1.0,27.0,0.0,11,True,light_user
U000031,2026-01-01,2,20.34,0.0,36.0,0.5,1,False,light_user
U000032,2026-01-01,1,15.9,1.0,36.0,0.0,20,False,one_time
U000033,2026-01-01,1,14.39,0.0,30.0,0.0,13,True,light_user
U000033,2026-02-01,1,16.68,0.0,37.0,1.0,14,False,light_user
U000034,2026-03-01,1,35.81,0.0,63.0,1.0,0,False,one_time
U000035,2026-02-01,2,31.68,0.5,40.0,1.0,7,False,light_user
U000036,2025-10-01,1,31.45,1.0,30.0,1.0,10,True,light_user
U000036,2025-11-01,1,12.09,0.0,35.0,0.0,18,False,light_user
U000037,2025-10-01,1,8.08,1.0,38.0,0.0,20,False,one_time
U000038,2025-09-01,2,24.83,0.5,44.5,1.0,0,True,promo_dependent
U000038,2025-10-01,1,17.97,1.0,40.0,0.0,21,False,promo_dependent
U000039,2026-01-01,1,8.0,0.0,28.0,0.0,10,False,one_time
U000040,2025-09-01,3,17.03,0.0,45.0,0.67,0,True,habitual_user
U000040,2025-10-01,3,19.2,0.33,38.3,1.0,2,True,habitual_user
U000040,2025-11-01,4,16.55,0.5,44.0,0.75,8,True,habitual_user
U000040,2025-12-01,1,15.65,1.0,50.0,0.0,28,False,habitual_user
U000041,2026-03-01,1,36.57,1.0,27.0,1.0,0,False,one_time
U000042,2025-10-01,1,31.87,0.0,47.0,1.0,11,True,promo_dependent
U000042,2025-11-01,2,20.89,1.0,30.0,0.5,11,True,promo_dependent
U000042,2025-12-01,2,28.38,1.0,27.5,0.5,9,True,promo_dependent
U000042,2026-01-01,1,23.35,1.0,18.0,1.0,25,False,promo_dependent
U000043,2025-12-01,1,28.58,0.0,34.0,0.0,2,False,one_time
U000044,2026-01-01,1,16.27,1.0,37.0,0.0,26,False,one_time
U000045,2026-02-01,1,30.99,0.0,25.0,1.0,1,True,light_user
U000045,2026-03-01,3,16.15,0.67,31.3,0.67,7,False,light_user
U000046,2026-03-01,1,25.75,1.0,49.0,1.0,17,False,one_time
U000047,2025-08-01,1,24.05,1.0,34.0,0.0,20,False,one_time
U000048,2026-03-01,1,21.0,0.0,38.0,1.0,0,False,one_time
U000049,2025-11-01,1,21.26,1.0,26.0,1.0,4,False,one_time
U000050,2025-09-01,1,29.43,1.0,45.0,1.0,5,True,light_user
U000050,2025-10-01,1,15.61,0.0,49.0,1.0,13,True,light_user
U000050,2025-11-01,1,20.67,0.0,50.0,1.0,13,True,light_user
U000050,2025-12-01,1,24.89,0.0,51.0,0.0,26,False,light_user
U000051,2026-02-01,1,8.0,0.0,35.0,0.0,7,True,promo_dependent
U000051,2026-03-01,2,10.16,1.0,33.0,0.5,12,False,promo_dependent
U000052,2025-08-01,1,40.07,0.0,35.0,1.0,7,False,one_time
U000053,2025-11-01,2,19.41,0.0,40.5,0.0,0,False,light_user
U000054,2025-09-01,2,17.86,0.5,33.5,1.0,7,True,habitual_user
U000054,2025-10-01,2,26.7,0.5,28.5,0.5,11,True,habitual_user
U000054,2025-11-01,3,18.04,0.67,42.3,0.67,6,False,habitual_user
U000055,2025-12-01,1,18.34,1.0,39.0,1.0,5,True,habitual_user
U000055,2026-01-01,3,29.15,0.0,40.0,0.67,7,True,habitual_user
U000055,2026-02-01,3,20.92,0.0,32.3,0.67,7,True,habitual_user
U000055,2026-03-01,3,26.0,0.33,30.7,0.67,13,False,habitual_user
U000056,2025-10-01,2,20.43,0.5,43.5,1.0,17,True,promo_dependent
U000056,2025-11-01,2,21.28,1.0,42.5,1.0,12,False,promo_dependent
U000057,2025-08-01,1,14.89,1.0,49.0,1.0,25,False,one_time
U000058,2026-02-01,1,42.39,1.0,27.0,0.0,10,False,one_time
U000059,2025-08-01,1,23.72,1.0,35.0,1.0,14,False,one_time
U000060,2025-11-01,2,30.85,0.5,30.5,0.5,5,True,light_user
U000060,2025-12-01,1,23.61,0.0,30.0,0.0,24,False,light_user
U000061,2026-02-01,1,27.43,0.0,32.0,1.0,9,True,light_user
U000061,2026-03-01,1,22.02,1.0,33.0,1.0,30,False,light_user
U000062,2025-08-01,1,21.41,1.0,39.0,1.0,9,True,promo_dependent
U000062,2025-09-01,2,20.77,0.5,34.0,0.5,2,True,promo_dependent
U000062,2025-10-01,1,18.84,1.0,33.0,1.0,21,False,promo_dependent
U000063,2025-08-01,1,25.62,1.0,27.0,1.0,8,True,light_user
U000063,2025-09-01,1,23.96,0.0,45.0,1.0,17,True,light_user
U000063,2025-10-01,1,32.86,0.0,20.0,1.0,19,False,light_user
U000064,2025-09-01,1,27.71,0.0,34.0,1.0,23,False,one_time
U000065,2025-07-01,1,31.23,1.0,21.0,1.0,5,True,light_user
U000065,2025-08-01,1,14.16,0.0,37.0,1.0,9,True,light_user
U000065,2025-09-01,1,20.96,0.0,24.0,1.0,16,False,light_user
U000066,2025-12-01,1,14.79,1.0,31.0,1.0,16,False,one_time
U000067,2026-03-01,1,35.67,0.0,47.0,1.0,16,False,one_time
U000068,2025-07-01,1,24.2,1.0,36.0,1.0,3,False,one_time
U000069,2026-03-01,1,17.75,0.0,50.0,1.0,0,False,one_time
U000070,2025-08-01,2,20.27,1.0,39.0,1.0,1,True,light_user
