user_id,signup_date,first_order_date,city,acquisition_channel,initial_promo_received,is_uber_cross_user
U000001,2025-07-15,2025-08-12,Los Angeles,Local Campaign,False,False
U000002,2026-03-11,2026-03-14,San Diego,Uber Cross-App,False,False
U000003,2025-12-06,2025-12-20,San Diego,Local Campaign,True,False
U000004,2025-08-16,2025-08-19,Los Angeles,Referral,False,True
U000005,2025-09-07,2025-09-26,San Diego,Uber Cross-App,False,True
U000006,2026-02-03,2026-02-15,Phoenix,Uber Cross-App,True,True
U000007,2025-11-10,2025-12-16,Los Angeles,Referral,False,False
U000008,2025-07-29,2025-08-11,Los Angeles,Organic,False,False
U000009,2025-10-18,2025-10-21,Phoenix,Organic,True,False
U000010,2025-11-26,2025-12-04,Phoenix,Local Campaign,False,False
U000011,2026-03-01,2026-03-25,Los Angeles,Uber Cross-App,False,True
U000012,2025-11-05,2025-11-15,Phoenix,Organic,True,False
U000013,2025-12-08,2025-12-08,Phoenix,Referral,True,True
U000014,2025-09-22,2025-09-30,Los Angeles,Paid Social,True,False
U000015,2026-03-14,2026-03-31,Los Angeles,Paid Social,False,False
U000016,2025-11-21,2025-12-30,San Diego,Referral,False,True
U000017,2025-10-21,2025-11-19,Los Angeles,Uber Cross-App,False,True
U000018,2026-03-23,2026-03-31,Los Angeles,Paid Social,False,False
U000019,2025-07-08,2025-07-08,San Francisco,Uber Cross-App,False,False
U000020,2026-03-06,2026-03-20,Los Angeles,Paid Social,True,False
U000021,2025-09-26,2025-10-09,Seattle,Uber Cross-App,False,False
U000022,2026-02-08,2026-02-25,Seattle,Local Campaign,False,True
U000023,2025-08-05,2025-08-17,Los Angeles,Paid Social,True,True
U000024,2026-01-11,2026-01-17,Seattle,Uber Cross-App,True,True
U000025,2025-08-22,2025-10-04,Seattle,Organic,False,False
U000026,2025-08-28,2025-09-10,Phoenix,Uber Cross-App,True,True
U000027,2026-02-22,2026-03-18,Los Angeles,Organic,False,False
U000028,2025-10-17,2025-11-19,Los Angeles,Local Campaign,False,False
U000029,2025-08-03,2025-08-03,Los Angeles,Local Campaign,True,False
U000030,2025-07-27,2025-08-04,Los Angeles,Uber Cross-App,True,True
U000031,2025-12-20,2025-12-20,San Diego,Referral,True,False
U000032,2026-01-09,2026-01-11,Los Angeles,Organic,True,True
U000033,2025-12-11,2026-01-18,San Diego,Paid Social,False,False
U000034,2026-03-07,2026-03-31,Phoenix,Organic,False,True
U000035,2026-01-17,2026-02-11,Los Angeles,Local Campaign,False,False
U000036,2025-10-12,2025-10-21,Los Angeles,Referral,True,False
U000037,2025-10-10,2025-10-11,Los Angeles,Paid Social,True,False
U000038,2025-08-26,2025-09-06,Los Angeles,Local Campaign,False,False
U000039,2026-01-14,2026-01-21,Seattle,Uber Cross-App,False,True
U000040,2025-08-16,2025-09-16,Los Angeles,Paid Social,False,False
U000041,2026-03-27,2026-03-31,Phoenix,Referral,True,False
U000042,2025-09-20,2025-10-20,Los Angeles,Local Campaign,False,False
U000043,2025-12-06,2025-12-29,Seattle,Referral,False,True
U000044,2025-12-30,2026-01-05,Los Angeles,Paid Social,True,False
U000045,2026-01-26,2026-02-27,Los Angeles,Organic,False,False
U000046,2026-03-08,2026-03-14,San Francisco,Referral,True,False
U000047,2025-07-29,2025-08-11,Los Angeles,Local Campaign,True,True
U000048,2026-03-23,2026-03-31,Los Angeles,Organic,False,False
U000049,2025-11-19,2025-11-26,Los Angeles,Uber Cross-App,True,True
U000050,2025-09-11,2025-09-25,Los Angeles,Paid Social,True,True
